Date,Description,Description - cleaned,Category,Money in,Money Out,Balance
03/09/2021,CARD PAYMENT TO SAINSBURYS,Sainsburys,Groceries,,55.65,"5,861.41"
04/09/2021,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,37,"5,824.41"
04/09/2021,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,99.72,"5,724.69"
05/09/2021,DIRECT DEBIT TO UNITED UTILITIES,United Utilities,Utilities,,45.92,"5,678.77"
05/09/2021,CARD PAYMENT TO ALDI,Aldi,Groceries,,56.71,"5,622.06"
06/09/2021,CARD PAYMENT TO PRET,Pret,Food & Drink,,5.75,"5,616.31"
07/09/2021,DIRECT DEBIT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,33.5,"5,582.81"
08/09/2021,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,42.07,"5,540.74"
09/09/2021,CARD PAYMENT TO UBER EATS,Uber Eats,Food & Drink,,18.83,"5,521.91"
09/09/2021,CARD PAYMENT TO COSTA COFFEE,Costa Coffee,Food & Drink,,29.92,"5,491.99"
10/09/2021,CARD PAYMENT TO NETFLIX,Netflix,Subscriptions,,3.47,"5,488.52"
11/09/2021,CARD PAYMENT TO COSTA COFFEE,Costa Coffee,Food & Drink,,28.44,"5,460.08"
11/09/2021,CARD PAYMENT TO SAINSBURYS,Sainsburys,Groceries,,60.68,"5,399.40"
12/09/2021,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,21.77,"5,377.63"
12/09/2021,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,41.24,"5,336.39"
12/09/2021,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,17.59,"5,318.80"
13/09/2021,CARD PAYMENT TO LIDL,Lidl,Groceries,,43.29,"5,275.51"
14/09/2021,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,30.6,"5,244.91"
15/09/2021,CARD PAYMENT TO TESCO,Tesco,Groceries,,23.95,"5,220.96"
15/09/2021,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,13.98,"5,206.98"
18/09/2021,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,104.85,"5,102.13"
18/09/2021,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,16.6,"5,085.53"
19/09/2021,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,30.79,"5,054.74"
19/09/2021,CARD PAYMENT TO CURRYS,Currys,Shopping,,19.84,"5,034.90"
20/09/2021,CARD PAYMENT TO ALDI,Aldi,Groceries,,38.18,"4,996.72"
21/09/2021,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,16.15,"4,980.57"
22/09/2021,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,50.81,"4,929.76"
25/09/2021,CARD PAYMENT TO CURRYS,Currys,Shopping,,44.06,"4,885.70"
25/09/2021,CARD PAYMENT TO IKEA,Ikea,Shopping,,165.81,"4,719.89"
29/09/2021,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,4.81,"4,715.08"
01/10/2021,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2436.1,,"7,151.18"
02/10/2021,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"6,301.18"
02/10/2021,CARD PAYMENT TO LIDL,Lidl,Groceries,,35.25,"6,265.93"
03/10/2021,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,89.25,"6,176.68"
03/10/2021,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,37.26,"6,139.42"
04/10/2021,CARD PAYMENT TO TESCO,Tesco,Groceries,,16.42,"6,123.00"
04/10/2021,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,43.09,"6,079.91"
05/10/2021,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,92.24,"5,987.67"
05/10/2021,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,40.19,"5,947.48"
05/10/2021,CARD PAYMENT TO CURRYS,Currys,Shopping,,176.02,"5,771.46"
06/10/2021,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,4.79,"5,766.67"
07/10/2021,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,40.63,"5,726.04"
07/10/2021,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,64.04,"5,662.00"
08/10/2021,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,37.8,"5,624.20"
09/10/2021,CARD PAYMENT TO SAINSBURYS,Sainsburys,Groceries,,42.34,"5,581.86"
12/10/2021,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,38.54,"5,543.32"
12/10/2021,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,59.08,"5,484.24"
12/10/2021,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,44.84,"5,439.40"
14/10/2021,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,6.24,"5,433.16"
14/10/2021,CARD PAYMENT TO SHELL,Shell,Transport,,26.23,"5,406.93"
18/10/2021,CARD PAYMENT TO APPLE,Apple,Subscriptions,,17.51,"5,389.42"
18/10/2021,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,72.91,"5,316.51"
18/10/2021,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,31.74,"5,284.77"
19/10/2021,CARD PAYMENT TO BP,BP,Transport,,31.47,"5,253.30"
19/10/2021,CARD PAYMENT TO MORRISONS,Morrisons,Groceries,,9.14,"5,244.16"
20/10/2021,CARD PAYMENT TO COSTA COFFEE,Costa Coffee,Food & Drink,,12.23,"5,231.93"
20/10/2021,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,63.92,"5,168.01"
23/10/2021,CARD PAYMENT TO ALDI,Aldi,Groceries,,61.72,"5,106.29"
23/10/2021,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,45.04,"5,061.25"
23/10/2021,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,9.56,"5,051.69"
24/10/2021,CARD PAYMENT TO UBER,Uber,Transport,,44.25,"5,007.44"
25/10/2021,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,21.88,"4,985.56"
25/10/2021,CARD PAYMENT TO ALDI,Aldi,Groceries,,40.59,"4,944.97"
26/10/2021,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,21.24,"4,923.73"
26/10/2021,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,37.67,"4,886.06"
27/10/2021,CARD PAYMENT TO SHELL,Shell,Transport,,9.34,"4,876.72"
27/10/2021,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,18.13,"4,858.59"
27/10/2021,CARD PAYMENT TO PRET,Pret,Food & Drink,,25.78,"4,832.81"
28/10/2021,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,49.35,"4,783.46"
28/10/2021,CARD PAYMENT TO STEAM,Steam,Recreation,,42.09,"4,741.37"
29/10/2021,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,44.85,"4,696.52"
29/10/2021,CARD PAYMENT TO CURRYS,Currys,Shopping,,88.55,"4,607.97"
29/10/2021,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,33.25,"4,574.72"
30/10/2021,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,13.08,"4,561.64"
01/11/2021,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2434.28,,"6,995.92"
01/11/2021,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,53.22,"6,942.70"
02/11/2021,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"6,092.70"
02/11/2021,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,54.36,"6,038.34"
02/11/2021,CARD PAYMENT TO UBER,Uber,Transport,,23.54,"6,014.80"
03/11/2021,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,88.19,"5,926.61"
04/11/2021,CARD PAYMENT TO NANDOS,Nandos,Food & Drink,,15.12,"5,911.49"
05/11/2021,DIRECT DEBIT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,93.05,"5,818.44"
05/11/2021,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,24.05,"5,794.39"
06/11/2021,CARD PAYMENT TO BP,BP,Transport,,51.37,"5,743.02"
06/11/2021,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,55.54,"5,687.48"
06/11/2021,CARD PAYMENT TO COSTA COFFEE,Costa Coffee,Food & Drink,,13.48,"5,674.00"
07/11/2021,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,63.64,"5,610.36"
07/11/2021,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,14.58,"5,595.78"
08/11/2021,CARD PAYMENT TO PRET,Pret,Food & Drink,,7.04,"5,588.74"
12/11/2021,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,58.58,"5,530.16"
13/11/2021,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,4.76,"5,525.40"
14/11/2021,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,32.39,"5,493.01"
14/11/2021,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,43.75,"5,449.26"
14/11/2021,CARD PAYMENT TO CURRYS,Currys,Shopping,,23.13,"5,426.13"
15/11/2021,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,11.01,"5,415.12"
15/11/2021,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,24.02,"5,391.10"
15/11/2021,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,17.56,"5,373.54"
16/11/2021,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,48.84,"5,324.70"
17/11/2021,CARD PAYMENT TO IKEA,Ikea,Shopping,,135.25,"5,189.45"
17/11/2021,CARD PAYMENT TO STARBUCKS,Starbucks,Food & Drink,,14.93,"5,174.52"
18/11/2021,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,15.14,"5,159.38"
18/11/2021,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,19,"5,140.38"
19/11/2021,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,44.57,"5,095.81"
19/11/2021,CARD PAYMENT TO SAINSBURYS,Sainsburys,Groceries,,18.99,"5,076.82"
19/11/2021,CARD PAYMENT TO SHELL,Shell,Transport,,20.97,"5,055.85"
20/11/2021,CARD PAYMENT TO MORRISONS,Morrisons,Groceries,,48.16,"5,007.69"
20/11/2021,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,51.18,"4,956.51"
21/11/2021,CARD PAYMENT TO DELIVEROO,Deliveroo,Food & Drink,,3.83,"4,952.68"
21/11/2021,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,113.02,"4,839.66"
21/11/2021,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,31.41,"4,808.25"
22/11/2021,CARD PAYMENT TO CURRYS,Currys,Shopping,,153.21,"4,655.04"
22/11/2021,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,51.54,"4,603.50"
24/11/2021,CARD PAYMENT TO ALDI,Aldi,Groceries,,10.83,"4,592.67"
25/11/2021,CARD PAYMENT TO BP,BP,Transport,,43.24,"4,549.43"
26/11/2021,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,71.88,"4,477.55"
26/11/2021,CARD PAYMENT TO ALDI,Aldi,Groceries,,59.96,"4,417.59"
29/11/2021,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,50.25,"4,367.34"
30/11/2021,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,54.77,"4,312.57"
30/11/2021,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,56.58,"4,255.99"
01/12/2021,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2586.68,,"6,842.67"
01/12/2021,CARD PAYMENT TO COSTA COFFEE,Costa Coffee,Food & Drink,,16.81,"6,825.86"
01/12/2021,CARD PAYMENT TO IKEA,Ikea,Shopping,,64.25,"6,761.61"
02/12/2021,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"5,911.61"
03/12/2021,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,29.47,"5,882.14"
03/12/2021,CARD PAYMENT TO IKEA,Ikea,Shopping,,58.09,"5,824.05"
03/12/2021,CARD PAYMENT TO STEAM,Steam,Recreation,,17.5,"5,806.55"
04/12/2021,CARD PAYMENT TO LIDL,Lidl,Groceries,,31.03,"5,775.52"
05/12/2021,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,72.65,"5,702.87"
06/12/2021,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,55.35,"5,647.52"
06/12/2021,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,64.2,"5,583.32"
07/12/2021,DIRECT DEBIT TO UNITED UTILITIES,United Utilities,Utilities,,94.63,"5,488.69"
07/12/2021,CARD PAYMENT TO CURRYS,Currys,Shopping,,128.24,"5,360.45"
08/12/2021,CARD PAYMENT TO IKEA,Ikea,Shopping,,154.49,"5,205.96"
08/12/2021,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,9.39,"5,196.57"
09/12/2021,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,50.42,"5,146.15"
10/12/2021,CARD PAYMENT TO AMAZON,Amazon,Shopping,,51.67,"5,094.48"
11/12/2021,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,49.4,"5,045.08"
12/12/2021,CARD PAYMENT TO IKEA,Ikea,Shopping,,111.62,"4,933.46"
12/12/2021,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,9.53,"4,923.93"
14/12/2021,CARD PAYMENT TO SHELL,Shell,Transport,,53.11,"4,870.82"
14/12/2021,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,44.79,"4,826.03"
14/12/2021,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,49.66,"4,776.37"
15/12/2021,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,28.59,"4,747.78"
15/12/2021,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,26.94,"4,720.84"
16/12/2021,CARD PAYMENT TO AMAZON,Amazon,Shopping,,15.78,"4,705.06"
17/12/2021,CARD PAYMENT TO BP,BP,Transport,,37.97,"4,667.09"
17/12/2021,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,40.33,"4,626.76"
20/12/2021,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,45.74,"4,581.02"
20/12/2021,CARD PAYMENT TO APPLE,Apple,Subscriptions,,2.07,"4,578.95"
21/12/2021,CARD PAYMENT TO AMAZON,Amazon,Shopping,,162.18,"4,416.77"
22/12/2021,CARD PAYMENT TO ASDA,Asda,Groceries,,8.24,"4,408.53"
23/12/2021,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,24.23,"4,384.30"
25/12/2021,CARD PAYMENT TO STEAM,Steam,Recreation,,13.26,"4,371.04"
27/12/2021,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,46.39,"4,324.65"
28/12/2021,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,40.56,"4,284.09"
28/12/2021,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,14,"4,270.09"
29/12/2021,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,33.71,"4,236.38"
30/12/2021,CARD PAYMENT TO SHELL,Shell,Transport,,38.66,"4,197.72"
31/12/2021,CARD PAYMENT TO GREGGS,Greggs,Food & Drink,,22.2,"4,175.52"
01/01/2022,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2716.85,,"6,892.37"
01/01/2022,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,41.16,"6,851.21"
01/01/2022,CARD PAYMENT TO ASDA,Asda,Groceries,,14.16,"6,837.05"
02/01/2022,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"5,987.05"
03/01/2022,DIRECT DEBIT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,73.28,"5,913.77"
03/01/2022,CARD PAYMENT TO APPLE,Apple,Subscriptions,,3.98,"5,909.79"
03/01/2022,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,45.09,"5,864.70"
03/01/2022,CARD PAYMENT TO SHELL,Shell,Transport,,23.66,"5,841.04"
05/01/2022,DIRECT DEBIT TO UNITED UTILITIES,United Utilities,Utilities,,61.42,"5,779.62"
05/01/2022,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,50.7,"5,728.92"
07/01/2022,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,32.98,"5,695.94"
08/01/2022,CARD PAYMENT TO BP,BP,Transport,,48.45,"5,647.49"
08/01/2022,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,44.58,"5,602.91"
09/01/2022,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,29.67,"5,573.24"
09/01/2022,CARD PAYMENT TO UBER,Uber,Transport,,25.19,"5,548.05"
14/01/2022,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,40.08,"5,507.97"
14/01/2022,CARD PAYMENT TO DELIVEROO,Deliveroo,Food & Drink,,22.54,"5,485.43"
14/01/2022,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,21.56,"5,463.87"
15/01/2022,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,12.5,"5,451.37"
15/01/2022,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,43.35,"5,408.02"
16/01/2022,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,136.86,"5,271.16"
16/01/2022,CARD PAYMENT TO NANDOS,Nandos,Food & Drink,,23.47,"5,247.69"
19/01/2022,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,21.09,"5,226.60"
20/01/2022,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,14.65,"5,211.95"
20/01/2022,CARD PAYMENT TO CURRYS,Currys,Shopping,,33.78,"5,178.17"
21/01/2022,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,15.37,"5,162.80"
21/01/2022,CARD PAYMENT TO APPLE,Apple,Subscriptions,,12.38,"5,150.42"
21/01/2022,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,10.96,"5,139.46"
23/01/2022,CARD PAYMENT TO PRET,Pret,Food & Drink,,27.6,"5,111.86"
24/01/2022,CARD PAYMENT TO NETFLIX,Netflix,Subscriptions,,11.78,"5,100.08"
24/01/2022,CARD PAYMENT TO AMAZON,Amazon,Shopping,,157.33,"4,942.75"
25/01/2022,CARD PAYMENT TO APPLE,Apple,Subscriptions,,3.81,"4,938.94"
26/01/2022,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,3.01,"4,935.93"
26/01/2022,CARD PAYMENT TO AMAZON,Amazon,Shopping,,131.25,"4,804.68"
27/01/2022,CARD PAYMENT TO AMAZON,Amazon,Shopping,,86.42,"4,718.26"
28/01/2022,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,12.62,"4,705.64"
29/01/2022,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,45.14,"4,660.50"
29/01/2022,CARD PAYMENT TO TESCO,Tesco,Groceries,,44.67,"4,615.83"
31/01/2022,CARD PAYMENT TO NETFLIX,Netflix,Subscriptions,,3.2,"4,612.63"
31/01/2022,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,5.85,"4,606.78"
31/01/2022,CARD PAYMENT TO STEAM,Steam,Recreation,,35.35,"4,571.43"
01/02/2022,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2620.2,,"7,191.63"
01/02/2022,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,24.73,"7,166.90"
01/02/2022,CARD PAYMENT TO APPLE,Apple,Subscriptions,,3.41,"7,163.49"
01/02/2022,CARD PAYMENT TO APPLE,Apple,Subscriptions,,7.06,"7,156.43"
02/02/2022,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"6,306.43"
02/02/2022,CARD PAYMENT TO TESCO,Tesco,Groceries,,31,"6,275.43"
02/02/2022,CARD PAYMENT TO LIDL,Lidl,Groceries,,39.3,"6,236.13"
02/02/2022,CARD PAYMENT TO NANDOS,Nandos,Food & Drink,,19.31,"6,216.82"
03/02/2022,DIRECT DEBIT TO UNITED UTILITIES,United Utilities,Utilities,,69.63,"6,147.19"
03/02/2022,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,7.81,"6,139.38"
05/02/2022,DIRECT DEBIT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,84.1,"6,055.28"
06/02/2022,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,33.81,"6,021.47"
06/02/2022,CARD PAYMENT TO SHELL,Shell,Transport,,25.75,"5,995.72"
06/02/2022,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,36.1,"5,959.62"
07/02/2022,DIRECT DEBIT TO UNITED UTILITIES,United Utilities,Utilities,,32.44,"5,927.18"
07/02/2022,CARD PAYMENT TO NETFLIX,Netflix,Subscriptions,,15.15,"5,912.03"
08/02/2022,CARD PAYMENT TO GREGGS,Greggs,Food & Drink,,19.49,"5,892.54"
08/02/2022,CARD PAYMENT TO SHELL,Shell,Transport,,56.37,"5,836.17"
08/02/2022,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,47.42,"5,788.75"
09/02/2022,CARD PAYMENT TO AMAZON,Amazon,Shopping,,139.93,"5,648.82"
12/02/2022,CARD PAYMENT TO NETFLIX,Netflix,Subscriptions,,17.42,"5,631.40"
12/02/2022,CARD PAYMENT TO LIDL,Lidl,Groceries,,49.96,"5,581.44"
13/02/2022,CARD PAYMENT TO NETFLIX,Netflix,Subscriptions,,13.07,"5,568.37"
13/02/2022,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,41.69,"5,526.68"
15/02/2022,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,84.08,"5,442.60"
16/02/2022,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,58.18,"5,384.42"
17/02/2022,CARD PAYMENT TO NETFLIX,Netflix,Subscriptions,,4.21,"5,380.21"
18/02/2022,CARD PAYMENT TO CURRYS,Currys,Shopping,,48.15,"5,332.06"
19/02/2022,CARD PAYMENT TO CURRYS,Currys,Shopping,,176.92,"5,155.14"
19/02/2022,CARD PAYMENT TO UNITED UTILITIES,United Utilities,Utilities,,29.41,"5,125.73"
20/02/2022,CARD PAYMENT TO NANDOS,Nandos,Food & Drink,,12.51,"5,113.22"
20/02/2022,CARD PAYMENT TO APPLE,Apple,Subscriptions,,12.79,"5,100.43"
21/02/2022,CARD PAYMENT TO PUREGYM,PureGym,Fitness,,51.36,"5,049.07"
21/02/2022,CARD PAYMENT TO ALDI,Aldi,Groceries,,16.28,"5,032.79"
23/02/2022,CARD PAYMENT TO STEAM,Steam,Recreation,,59.18,"4,973.61"
24/02/2022,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,36.08,"4,937.53"
24/02/2022,CARD PAYMENT TO STEAM,Steam,Recreation,,47.68,"4,889.85"
26/02/2022,CARD PAYMENT TO SPOTIFY,Spotify,Subscriptions,,11.86,"4,877.99"
28/02/2022,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,44.03,"4,833.96"
28/02/2022,CARD PAYMENT TO ALDI,Aldi,Groceries,,30.09,"4,803.87"
28/02/2022,CARD PAYMENT TO AMAZON,Amazon,Shopping,,17.14,"4,786.73"
01/03/2022,SALARY PAYMENT ACME ENGINEERING LTD,Salary,Income,2500.54,,"7,287.27"
01/03/2022,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,47.27,"7,240.00"
02/03/2022,DIRECT DEBIT TO LANDLORD RENT PAYMENT,Rent,Housing,,850,"6,390.00"
02/03/2022,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,31.34,"6,358.66"
03/03/2022,DIRECT DEBIT TO UNITED UTILITIES,United Utilities,Utilities,,30.21,"6,328.45"
05/03/2022,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,27.84,"6,300.61"
05/03/2022,CARD PAYMENT TO STEAM,Steam,Recreation,,18.05,"6,282.56"
06/03/2022,CARD PAYMENT TO MORRISONS,Morrisons,Groceries,,34.58,"6,247.98"
06/03/2022,CARD PAYMENT TO OCTOPUS ENERGY,Octopus Energy,Utilities,,11.92,"6,236.06"
07/03/2022,DIRECT DEBIT TO VIRGIN MEDIA,Virgin Media,Utilities,,66.78,"6,169.28"
07/03/2022,CARD PAYMENT TO DISNEY PLUS,Disney Plus,Subscriptions,,3.17,"6,166.11"
07/03/2022,CARD PAYMENT TO CURRYS,Currys,Shopping,,172.9,"5,993.21"
09/03/2022,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,25.52,"5,967.69"
10/03/2022,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,25.22,"5,942.47"
11/03/2022,CARD PAYMENT TO UBER,Uber,Transport,,59.82,"5,882.65"
11/03/2022,CARD PAYMENT TO TESCO,Tesco,Groceries,,46.13,"5,836.52"
12/03/2022,CARD PAYMENT TO BP,BP,Transport,,57.86,"5,778.66"
12/03/2022,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,166.13,"5,612.53"
12/03/2022,CARD PAYMENT TO PRET,Pret,Food & Drink,,9.93,"5,602.60"
13/03/2022,CARD PAYMENT TO LIDL,Lidl,Groceries,,54.86,"5,547.74"
13/03/2022,CARD PAYMENT TO JD SPORTS,JD Sports,Shopping,,95.32,"5,452.42"
14/03/2022,CARD PAYMENT TO TRAINLINE,Trainline,Transport,,34.72,"5,417.70"
14/03/2022,CARD PAYMENT TO STARBUCKS,Starbucks,Food & Drink,,29.23,"5,388.47"
17/03/2022,CARD PAYMENT TO UBER,Uber,Transport,,51.45,"5,337.02"
19/03/2022,CARD PAYMENT TO DELIVEROO,Deliveroo,Food & Drink,,21.52,"5,315.50"
19/03/2022,CARD PAYMENT TO ALDI,Aldi,Groceries,,48.86,"5,266.64"
19/03/2022,CARD PAYMENT TO TESCO,Tesco,Groceries,,12.18,"5,254.46"
20/03/2022,CARD PAYMENT TO WATERSTONES,Waterstones,Recreation,,13.52,"5,240.94"
21/03/2022,CARD PAYMENT TO CINEWORLD,Cineworld,Recreation,,29.4,"5,211.54"
22/03/2022,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,21.01,"5,190.53"
22/03/2022,CARD PAYMENT TO UBER EATS,Uber Eats,Food & Drink,,3.16,"5,187.37"
26/03/2022,CARD PAYMENT TO GREGGS,Greggs,Food & Drink,,24.25,"5,163.12"
27/03/2022,CARD PAYMENT TO GREGGS,Greggs,Food & Drink,,23.66,"5,139.46"
28/03/2022,CARD PAYMENT TO DECATHLON,Decathlon,Fitness,,69.33,"5,070.13"
28/03/2022,CARD PAYMENT TO ALDI,Aldi,Groceries,,16.91,"5,053.22"
28/03/2022,CARD PAYMENT TO BP,BP,Transport,,46.83,"5,006.39"
29/03/2022,CARD PAYMENT TO VIRGIN MEDIA,Virgin Media,Utilities,,35.48,"4,970.91"
29/03/2022,CARD PAYMENT TO AMAZON,Amazon,Shopping,,106.33,"4,864.58"
